[Rank 9] inte[0]: 206.991, comm[0]: 216.197, comm[1]: 1901.854, comm[2]: 215.328, force: 3170.934, rev_comm[0]: 209.057, rev_comm[1]: 1952.574, rev_comm[2]: 241.407, inte[1]: 145.313
[Rank 10] inte[0]: 204.782, comm[0]: 219.911, comm[1]: 1858.609, comm[2]: 220.014, force: 3083.518, rev_comm[0]: 211.540, rev_comm[1]: 1915.914, rev_comm[2]: 243.432, inte[1]: 143.887
[Rank 11] inte[0]: 205.362, comm[0]: 218.637, comm[1]: 1900.473, comm[2]: 217.840, force: 3137.168, rev_comm[0]: 212.017, rev_comm[1]: 1947.802, rev_comm[2]: 243.543, inte[1]: 143.736
[Rank 12] inte[0]: 203.956, comm[0]: 204.083, comm[1]: 1500.563, comm[2]: 205.847, force: 3124.244, rev_comm[0]: 197.584, rev_comm[1]: 1483.008, rev_comm[2]: 227.048, inte[1]: 143.103
[Rank 13] inte[0]: 204.854, comm[0]: 207.087, comm[1]: 1530.435, comm[2]: 208.404, force: 3116.938, rev_comm[0]: 199.975, rev_comm[1]: 1511.393, rev_comm[2]: 231.033, inte[1]: 144.148
[Rank 14] inte[0]: 205.823, comm[0]: 219.890, comm[1]: 1515.831, comm[2]: 219.890, force: 3128.155, rev_comm[0]: 212.241, rev_comm[1]: 1489.304, rev_comm[2]: 244.801, inte[1]: 145.057
[Rank 15] inte[0]: 205.266, comm[0]: 218.164, comm[1]: 1533.922, comm[2]: 217.273, force: 3087.196, rev_comm[0]: 211.944, rev_comm[1]: 1517.325, rev_comm[2]: 242.637, inte[1]: 143.954
[Rank 16] inte[0]: 205.001, comm[0]: 203.338, comm[1]: 1889.526, comm[2]: 204.451, force: 3084.609, rev_comm[0]: 197.727, rev_comm[1]: 1955.715, rev_comm[2]: 226.720, inte[1]: 142.847
[Rank 17] inte[0]: 205.019, comm[0]: 204.412, comm[1]: 1955.595, comm[2]: 204.749, force: 3075.270, rev_comm[0]: 196.833, rev_comm[1]: 2022.877, rev_comm[2]: 225.965, inte[1]: 143.062
[Rank 18] inte[0]: 205.364, comm[0]: 219.427, comm[1]: 1914.493, comm[2]: 218.444, force: 3050.557, rev_comm[0]: 212.256, rev_comm[1]: 1986.368, rev_comm[2]: 241.712, inte[1]: 143.802
[Rank 19] inte[0]: 204.811, comm[0]: 219.448, comm[1]: 1959.915, comm[2]: 217.727, force: 3094.112, rev_comm[0]: 210.846, rev_comm[1]: 2028.802, rev_comm[2]: 242.046, inte[1]: 144.377
[Rank 20] inte[0]: 206.846, comm[0]: 222.892, comm[1]: 1610.382, comm[2]: 222.024, force: 3182.631, rev_comm[0]: 216.534, rev_comm[1]: 1677.952, rev_comm[2]: 246.364, inte[1]: 145.768
[Rank 21] inte[0]: 205.839, comm[0]: 217.641, comm[1]: 1677.581, comm[2]: 217.785, force: 3176.054, rev_comm[0]: 213.805, rev_comm[1]: 1733.996, rev_comm[2]: 242.677, inte[1]: 145.041
[Rank 22] inte[0]: 206.895, comm[0]: 222.588, comm[1]: 1640.226, comm[2]: 222.381, force: 3174.673, rev_comm[0]: 216.042, rev_comm[1]: 1703.757, rev_comm[2]: 247.321, inte[1]: 145.023
[Rank 23] inte[0]: 205.669, comm[0]: 221.291, comm[1]: 1672.819, comm[2]: 219.439, force: 3186.152, rev_comm[0]: 214.786, rev_comm[1]: 1729.722, rev_comm[2]: 244.527, inte[1]: 144.491
[Rank 24] inte[0]: 204.950, comm[0]: 219.028, comm[1]: 1836.036, comm[2]: 219.065, force: 3131.265, rev_comm[0]: 212.654, rev_comm[1]: 1827.522, rev_comm[2]: 243.482, inte[1]: 144.884
[Rank 25] inte[0]: 205.610, comm[0]: 217.312, comm[1]: 1903.976, comm[2]: 216.069, force: 3082.445, rev_comm[0]: 211.427, rev_comm[1]: 1895.661, rev_comm[2]: 241.620, inte[1]: 144.149
[Rank 26] inte[0]: 205.242, comm[0]: 206.227, comm[1]: 1873.930, comm[2]: 207.693, force: 3124.612, rev_comm[0]: 198.823, rev_comm[1]: 1862.086, rev_comm[2]: 229.834, inte[1]: 143.586
[Rank 27] inte[0]: 204.355, comm[0]: 206.367, comm[1]: 1893.910, comm[2]: 205.742, force: 3086.091, rev_comm[0]: 198.141, rev_comm[1]: 1885.592, rev_comm[2]: 226.636, inte[1]: 143.236
[Rank 28] inte[0]: 207.327, comm[0]: 223.434, comm[1]: 1685.994, comm[2]: 221.251, force: 3187.851, rev_comm[0]: 214.101, rev_comm[1]: 1718.985, rev_comm[2]: 247.505, inte[1]: 145.829
[Rank 29] inte[0]: 206.221, comm[0]: 217.677, comm[1]: 1726.561, comm[2]: 217.309, force: 3136.473, rev_comm[0]: 212.497, rev_comm[1]: 1761.228, rev_comm[2]: 243.592, inte[1]: 144.650
[Rank 30] inte[0]: 205.740, comm[0]: 223.068, comm[1]: 1712.734, comm[2]: 224.666, force: 3133.207, rev_comm[0]: 214.546, rev_comm[1]: 1742.709, rev_comm[2]: 247.364, inte[1]: 144.205
[Rank 31] inte[0]: 204.809, comm[0]: 222.684, comm[1]: 1726.099, comm[2]: 222.400, force: 3109.758, rev_comm[0]: 214.158, rev_comm[1]: 1763.418, rev_comm[2]: 246.557, inte[1]: 143.985
[Rank 32] inte[0]: 204.167, comm[0]: 219.919, comm[1]: 2058.394, comm[2]: 219.299, force: 3091.707, rev_comm[0]: 214.025, rev_comm[1]: 2183.352, rev_comm[2]: 241.968, inte[1]: 144.548
[Rank 33] inte[0]: 205.164, comm[0]: 221.382, comm[1]: 2149.314, comm[2]: 219.951, force: 3089.631, rev_comm[0]: 213.617, rev_comm[1]: 2264.794, rev_comm[2]: 244.431, inte[1]: 143.839
